network,attack,fraction_removed,repeat,n_nodes,n_edges,density,mean_degree,average_clustering,n_components,giant_component_size,giant_component_fraction,global_efficiency_approx,n_spikes,mean_firing_rate_hz,active_fraction,population_rate_mean,population_rate_cv
random_geometric,random,0.5,3,713,21696,0.08547520368123296,60.85834502103787,0.6448906089266055,1,713,1.0,0.3578815988941938,0,0.0,0.0,0.0,0.0
random_geometric,random,0.5,4,713,21676,0.08539641016751501,60.80224403927069,0.6427766730177891,1,713,1.0,0.35844475376753415,0,0.0,0.0,0.0,0.0
random_geometric,random,0.6,0,570,13922,0.08585083094379181,48.849122807017544,0.6453683899186508,1,570,1.0,0.35849430914720254,0,0.0,0.0,0.0,0.0
random_geometric,random,0.6,1,570,13913,0.08579533191502482,48.81754385964912,0.6431357160438458,1,570,1.0,0.3538581436382292,0,0.0,0.0,0.0,0.0
random_geometric,random,0.6,2,570,14378,0.08866278173465297,50.449122807017545,0.6479149848553787,1,570,1.0,0.36397753647441317,0,0.0,0.0,0.0,0.0
random_geometric,random,0.6,3,570,14061,0.08670798261030432,49.33684210526316,0.6460720088156712,1,570,1.0,0.3560347135046045,0,0.0,0.0,0.0,0.0
random_geometric,random,0.6,4,570,13734,0.08469151789843678,48.189473684210526,0.6421347221363487,1,570,1.0,0.352081739755053,0,0.0,0.0,0.0,0.0
random_geometric,random,0.7,0,428,7747,0.08477970627503338,36.200934579439256,0.651795980486389,1,428,1.0,0.3517290528233617,0,0.0,0.0,0.0,0.0
random_geometric,random,0.7,1,428,7962,0.08713257020289347,37.205607476635514,0.6492355303290077,1,428,1.0,0.36224876863318434,0,0.0,0.0,0.0,0.0
random_geometric,random,0.7,2,428,7522,0.08231740681564491,35.149532710280376,0.6444431110303404,1,428,1.0,0.34425775528798563,0,0.0,0.0,0.0,0.0
random_geometric,random,0.7,3,428,7582,0.08297402000481516,35.429906542056074,0.6503599378096002,1,428,1.0,0.3457741208505872,0,0.0,0.0,0.0,0.0
random_geometric,random,0.7,4,428,7658,0.08380573004443083,35.78504672897196,0.6492090932104545,1,428,1.0,0.3483562692837491,0,0.0,0.0,0.0,0.0
random_geometric,random,0.8,0,285,3465,0.08561897702001482,24.31578947368421,0.6522517347106499,1,285,1.0,0.34369051810873125,0,0.0,0.0,0.0,0.0
random_geometric,random,0.8,1,285,3553,0.08779342723004695,24.933333333333334,0.6293929138539961,1,285,1.0,0.3581779426560122,0,0.0,0.0,0.0,0.0
random_geometric,random,0.8,2,285,3364,0.08312330121077341,23.607017543859648,0.6426628794940775,1,285,1.0,0.34688074977650396,0,0.0,0.0,0.0,0.0
random_geometric,random,0.8,3,285,3567,0.08813936249073388,25.03157894736842,0.6348543004097924,1,285,1.0,0.3587723214286284,0,0.0,0.0,0.0,0.0
random_geometric,random,0.8,4,285,3466,0.08564368668149247,24.32280701754386,0.6440053952796942,1,285,1.0,0.34621270679639915,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.0,0,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.36585488145346023,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.0,1,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.3613643799040687,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.0,2,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.36447845605892426,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.0,3,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.3601854768588205,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.0,4,1425,86583,0.0853370786516854,121.52,0.646121617878096,1,1425,1.0,0.3547230401168075,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.1,0,1283,68193,0.08291920141341896,106.30241621200312,0.6552841924068193,1,1283,1.0,0.3527068305347122,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.1,1,1283,68193,0.08291920141341896,106.30241621200312,0.6552841924068193,1,1283,1.0,0.34638464669500063,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.1,2,1283,68193,0.08291920141341896,106.30241621200312,0.6552841924068193,1,1283,1.0,0.3550230650888776,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.1,3,1283,68193,0.08291920141341896,106.30241621200312,0.6552841924068193,1,1283,1.0,0.3510993657599643,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.1,4,1283,68193,0.08291920141341896,106.30241621200312,0.6552841924068193,1,1283,1.0,0.35146345306148646,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.2,0,1140,54274,0.08359749241409054,95.21754385964913,0.6726228219452883,1,1140,1.0,0.3403856609805154,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.2,1,1140,54274,0.08359749241409054,95.21754385964913,0.6726228219452883,1,1140,1.0,0.3436564812489036,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.2,2,1140,54274,0.08359749241409054,95.21754385964913,0.6726228219452883,1,1140,1.0,0.3424918056771955,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.2,3,1140,54274,0.08359749241409054,95.21754385964913,0.6726228219452883,1,1140,1.0,0.3382047134770656,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.2,4,1140,54274,0.08359749241409054,95.21754385964913,0.6726228219452883,1,1140,1.0,0.3433238847774943,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.3,0,997,42112,0.08481669909326373,84.47743229689067,0.6945836259450825,1,997,1.0,0.32854291969436955,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.3,1,997,42112,0.08481669909326373,84.47743229689067,0.6945836259450825,1,997,1.0,0.3313496685150736,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.3,2,997,42112,0.08481669909326373,84.47743229689067,0.6945836259450825,1,997,1.0,0.3319229079011669,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.3,3,997,42112,0.08481669909326373,84.47743229689067,0.6945836259450825,1,997,1.0,0.33060312081631793,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.3,4,997,42112,0.08481669909326373,84.47743229689067,0.6945836259450825,1,997,1.0,0.3269579329218739,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.4,0,855,32078,0.08786446991796432,75.03625730994152,0.7187280192351481,1,855,1.0,0.31502653014740106,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.4,1,855,32078,0.08786446991796432,75.03625730994152,0.7187280192351481,1,855,1.0,0.31532654455205333,0,0.0,0.0,0.0,0.0
