base_sigma,Gini_mean,Gini_std,k,P_k_mean,P_k_std,P_k_sem,n_sims
0.05,0.735762962962963,0.009364889864296375,80,0.0018024144869215292,0.003033353983991357,0.0013565571416048966,5
0.05,0.735762962962963,0.009364889864296375,81,0.0010036217303822938,0.0010030280983298993,0.0004485678022415996,5
0.05,0.735762962962963,0.009364889864296375,82,0.0012036217303822937,0.0016481393664903256,0.0007370703319731614,5
0.05,0.735762962962963,0.009364889864296375,83,0.0004012072434607646,0.0005493797888301087,0.0002456901106577205,5
0.05,0.735762962962963,0.009364889864296375,84,0.0006012072434607647,0.0008951058767791844,0.0004003035175075614,5
0.05,0.735762962962963,0.009364889864296375,85,0.0008024144869215292,0.0010987595776602173,0.000491380221315441,5
0.05,0.735762962962963,0.009364889864296375,86,0.0,0.0,0.0,5
0.05,0.735762962962963,0.009364889864296375,87,0.0002,0.00044721359549995795,0.0002,5
0.05,0.735762962962963,0.009364889864296375,88,0.0,0.0,0.0,5
0.05,0.735762962962963,0.009364889864296375,89,0.0002,0.00044721359549995795,0.0002,5
0.05,0.735762962962963,0.009364889864296375,90,0.0,0.0,0.0,5
0.05,0.735762962962963,0.009364889864296375,91,0.0002,0.00044721359549995795,0.0002,5
0.05,0.735762962962963,0.009364889864296375,92,0.0002,0.00044721359549995795,0.0002,5
0.05,0.735762962962963,0.009364889864296375,93,0.0002,0.00044721359549995795,0.0002,5
